name,birth_year,birth_city,death_year,death_city,discipline,known_to,institution,major_work,nationality
James Gregory,1638,Drumoak,1675,Edinburgh,Mathematics,Isaac Newton,University of Edinburgh,Optica Promota,Scottish
Colin Maclaurin,1698,Kilmodan,1746,Edinburgh,Mathematics,Isaac Newton,University of Edinburgh,Treatise of Fluxions,Scottish
Brook Taylor,1685,Edmonton,1731,London,Mathematics,Isaac Newton,Royal Society,Methodus Incrementorum,English
Nicholas Saunderson,1682,Thurlstone,1739,Cambridge,Mathematics,Isaac Newton,Cambridge University,Elements of Algebra,English
Thomas Sydenham,1624,Wynford Eagle,1689,London,Medicine,Robert Boyle,None,Methodus Curandi Febres,English
Herman Boerhaave,1668,Voorhout,1738,Leiden,Medicine,Thomas Sydenham,University of Leiden,Institutiones Medicae,Dutch
Friedrich Hoffmann,1660,Halle,1742,Halle,Medicine,Herman Boerhaave,University of Halle,Medicina Rationalis Systematica,German
Georg Ernst Stahl,1659,Ansbach,1734,Berlin,Chemistry,Friedrich Hoffmann,University of Halle,Zymotechnia Fundamentalis,German
Johann Joachim Becher,1635,Speyer,1682,London,Chemistry,Georg Ernst Stahl,None,Physica Subterranea,German
Nehemiah Grew,1641,Mancetter,1712,London,Botany,John Ray,Royal Society,Anatomy of Plants,English
John Wilkins,1614,Fawsley,1672,London,Natural Philosophy,Robert Boyle,Oxford University,Mathematical Magick,English
Samuel Hartlib,1600,Elbing,1662,London,Philosophy,John Wilkins,None,Reformed Commonwelath,Polish-English
Jan Amos Comenius,1592,Nivnice,1670,Amsterdam,Education,Samuel Hartlib,None,Didactica Magna,Czech
Isaac Casaubon,1559,Geneva,1614,London,Philology,Jan Amos Comenius,University of Geneva,De rebus sacris et ecclesiasticis,Swiss
Hugo Grotius,1583,Delft,1645,Rostock,Law,Francis Bacon,Delft,Mare Liberum,Dutch
Samuel von Pufendorf,1632,Dorfchemnitz,1694,Berlin,Law,Hugo Grotius,University of Heidelberg,De Jure Naturae et Gentium,German
Justus Lipsius,1547,Overijse,1606,Louvain,Philology,Hugo Grotius,University of Leuven,Politica,Flemish
Joseph Scaliger,1540,Agen,1609,Leiden,Chronology,Hugo Grotius,University of Leiden,De Emendatione Temporum,French
Claude Saumaise,1588,Semur-en-Auxois,1653,Spa,Philology,Joseph Scaliger,University of Leiden,Plinianae Exercitationes,French
Marin Mersenne,1588,Oize,1648,Paris,Mathematics,René Descartes,None,Harmonie Universelle,French
Pierre Gassendi,1592,Champtercier,1655,Paris,Philosophy,Marin Mersenne,Collège Royal,Syntagma Philosophicum,French
Thomas Willis,1621,Great Bedwyn,1675,London,Medicine,Robert Hooke,Oxford University,Cerebri Anatome,English
Richard Lower,1631,Tremeer,1691,London,Medicine,Thomas Willis,Oxford University,Tractatus de Corde,English
Athanasius Kircher,1602,Geisa,1680,Rome,Natural Philosophy,Galileo Galilei,Collegio Romano,Mundus Subterraneus,German
Francesco Grimaldi,1618,Bologna,1663,Bologna,Physics,Galileo Galilei,University of Bologna,Physico-Mathesis de Lumine,Italian
Evangelista Torricelli,1608,Faenza,1647,Florence,Physics,Galileo Galilei,University of Florence,Opera Geometrica,Italian
Bonaventura Cavalieri,1598,Milan,1647,Bologna,Mathematics,Galileo Galilei,University of Bologna,Geometria Indivisibilibus,Italian
Gilles de Roberval,1602,Roberval,1675,Paris,Mathematics,Marin Mersenne,Collège Royal,Traité de Mécanique,French
Girard Desargues,1591,Lyon,1661,Lyon,Mathematics,Marin Mersenne,None,Brouillon project,French
Guillaume de l'Hôpital,1661,Paris,1704,Paris,Mathematics,Gottfried Leibniz,None,Analyse des infiniment petits,French
Jakob Bernoulli,1654,Basel,1705,Basel,Mathematics,Gottfried Leibniz,University of Basel,Ars Conjectandi,Swiss
Johann Bernoulli,1667,Basel,1748,Basel,Mathematics,Jakob Bernoulli,University of Basel,Hydraulica,Swiss
Abraham de Moivre,1667,Vitry-le-François,1754,London,Mathematics,Isaac Newton,None,The Doctrine of Chances,French-English
Roger Cotes,1682,Burbage,1716,Cambridge,Mathematics,Isaac Newton,Cambridge University,Harmonia Mensurarum,English
James Stirling,1692,Garden,1770,Edinburgh,Mathematics,Isaac Newton,None,Methodus Differentialis,Scottish
Thomas Bayes,1702,London,1761,Tunbridge Wells,Mathematics,Richard Price,None,Bayes Theorem,English
Richard Price,1723,Llangeinor,1791,London,Philosophy,Thomas Bayes,None,Review of Morals,Welsh
Erasmus Darwin,1731,Elston,1802,Derby,Natural Philosophy,Carl Linnaeus,None,Zoonomia,English
Joseph Banks,1743,London,1820,Isleworth,Botany,Carl Linnaeus,Royal Society,Florilegium,English
Daniel Solander,1733,Pitea,1782,London,Botany,Carl Linnaeus,British Museum,Primitiae Florae,Swedish
Anders Celsius,1701,Uppsala,1744,Uppsala,Astronomy,Carl Linnaeus,Uppsala University,Temperature Scale,Swedish
Carolus Clusius,1526,Arras,1609,Leiden,Botany,Francis Bacon,University of Leiden,Rariorum Plantarum Historia,Flemish
Francesco Redi,1626,Arezzo,1697,Pisa,Biology,Athanasius Kircher,Accademia della Crusca,Esperienze intorno alla generazione,Italian
Lazzaro Spallanzani,1729,Scandiano,1799,Pavia,Biology,Francesco Redi,University of Pavia,Saggio di osservazioni,Italian
